Age,Gender,Education,Years of Experience,Job Role,Industry,Workplace Setting,EI_Q1,EI_Q2,EI_Q3,EI_Q4,EI_Q5,EI_Q6,EI_Q7,EI_Q8,EI_Q9,EI_Q10,CR_Q1,CR_Q2,CR_Q3,CR_Q4,CR_Q5,CR_Q6,CR_Q7,CR_Q8,CR_Q9,CR_Q10,WO_Q1,WO_Q2,WO_Q3,WO_Q4,WO_Q5,WO_Q6,WO_Q7,WO_Q8,WO_Q9,WO_Q10,Open_Ended_1,Open_Ended_2,Open_Ended_3
38,Female,Undergraduate (UG),4 years,Senior Management/Executive,Retail,Hybrid (Partially Remote),3,1,4,3,2,2,1,5,1,5,2,4,4,5,2,3,4,5,4,4,2,1,2,1,4,5,4,5,2,2,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.,"During a team dispute, I encouraged open communication, which helped us find a solution beneficial to all.",Addressing conflicts directly but respectfully has improved my team’s productivity and morale.
39,Male,Postgraduate (PG),12 years,Other,Finance/Banking,On-Site,3,4,3,2,2,5,1,3,2,2,3,5,5,3,1,4,1,4,5,5,5,1,1,1,4,4,3,2,4,3,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.",I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.
55,Male,Undergraduate (UG),21 years,Manager/Supervisor,Finance/Banking,On-Site,1,3,2,3,3,1,3,3,1,2,5,3,5,1,1,2,2,5,3,1,5,5,5,3,4,4,2,2,3,1,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.,Our organization would benefit from regular sessions on emotional intelligence and communication skills.
36,Male,Undergraduate (UG),9 years,Individual Contributor/Employee,Information Technology (IT),Fully Remote,5,3,5,5,1,3,3,1,4,2,4,2,5,1,2,3,2,1,2,1,4,2,1,4,3,2,5,2,1,4,"During a team dispute, I encouraged open communication, which helped us find a solution beneficial to all.",I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.,Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.
38,Male,Postgraduate (PG),2 years,Team Lead,Manufacturing,Hybrid (Partially Remote),4,3,5,3,1,5,3,4,5,5,2,5,4,2,1,3,5,4,1,3,4,2,4,4,5,4,2,5,1,4,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.",I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.
18,Male,Undergraduate (UG),0 years,Individual Contributor/Employee,Manufacturing,Fully Remote,5,2,3,5,5,1,5,4,4,1,2,2,4,4,1,2,3,4,1,4,3,4,1,4,2,4,5,3,2,2,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.",Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.
39,Male,Postgraduate (PG),6 years,Individual Contributor/Employee,Healthcare,Fully Remote,1,5,1,3,1,5,3,1,4,1,3,1,4,2,4,3,3,2,5,3,2,3,1,3,4,4,5,2,4,4,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.",Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations."
55,Male,Postgraduate (PG),18 years,Manager/Supervisor,Healthcare,Hybrid (Partially Remote),2,3,4,1,5,3,3,4,1,4,3,2,2,1,5,2,2,4,3,3,2,4,5,2,5,5,1,1,4,5,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.
38,Male,Undergraduate (UG),11 years,Manager/Supervisor,Information Technology (IT),Hybrid (Partially Remote),1,4,1,5,1,5,1,4,4,1,1,5,2,4,3,3,1,2,2,1,3,2,3,1,4,4,2,5,3,5,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.
48,Male,Postgraduate (PG),9 years,Individual Contributor/Employee,Retail,Hybrid (Partially Remote),4,5,1,2,1,2,3,4,4,3,3,2,5,4,2,3,5,4,4,3,3,2,4,5,1,2,5,5,3,1,"During a team dispute, I encouraged open communication, which helped us find a solution beneficial to all.",Our organization would benefit from regular sessions on emotional intelligence and communication skills.,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.
23,Male,Undergraduate (UG),0 years,Manager/Supervisor,Healthcare,Fully Remote,5,5,5,5,2,5,5,1,1,1,3,5,5,1,1,5,4,2,5,3,3,3,1,3,4,4,4,3,3,2,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.,Our organization would benefit from regular sessions on emotional intelligence and communication skills.,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.
47,Male,Postgraduate (PG),15 years,Senior Management/Executive,Retail,Fully Remote,3,5,1,1,5,3,5,2,3,5,4,1,3,2,1,2,1,5,4,1,4,1,1,1,5,5,1,3,2,5,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.",I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.
27,Male,Postgraduate (PG),3 years,Team Lead,Retail,Hybrid (Partially Remote),5,3,2,4,5,1,2,4,2,4,2,3,2,4,5,4,1,2,4,2,2,2,1,3,5,1,2,4,2,1,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.,"During a team dispute, I encouraged open communication, which helped us find a solution beneficial to all.",Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.
43,Male,Postgraduate (PG),20 years,Other,Retail,Fully Remote,5,2,2,1,5,2,1,1,3,4,4,2,2,4,4,1,4,3,3,4,1,5,2,4,4,2,5,3,2,3,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.,Our organization would benefit from regular sessions on emotional intelligence and communication skills.
57,Male,Postgraduate (PG),23 years,Senior Management/Executive,Healthcare,Fully Remote,5,5,4,4,4,3,2,4,2,2,5,5,1,4,1,1,5,5,3,2,3,4,5,4,1,4,2,3,2,2,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.
38,Male,Undergraduate (UG),13 years,Senior Management/Executive,Education,On-Site,4,5,1,2,3,3,4,1,4,5,1,1,3,5,4,2,5,5,1,5,3,5,1,2,5,1,3,2,3,3,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.
60,Male,Postgraduate (PG),15 years,Other,Education,Fully Remote,1,2,3,3,2,4,4,5,1,4,1,4,3,2,5,1,5,4,5,1,1,3,4,4,4,5,3,5,1,5,Our organization would benefit from regular sessions on emotional intelligence and communication skills.,Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.
43,Male,Undergraduate (UG),18 years,Individual Contributor/Employee,Healthcare,On-Site,3,2,1,4,2,5,4,4,5,2,1,3,5,3,1,3,4,3,5,4,4,2,3,4,4,4,4,4,5,5,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.,Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.
34,Male,Undergraduate (UG),12 years,Team Lead,Healthcare,Fully Remote,1,1,2,5,2,5,4,5,2,4,1,1,4,4,1,3,3,3,2,3,4,1,5,4,4,3,3,3,3,2,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.",I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.
30,Male,Postgraduate (PG),7 years,Senior Management/Executive,Information Technology (IT),Hybrid (Partially Remote),1,1,5,5,5,5,2,5,1,1,2,4,2,2,1,4,3,5,1,5,2,5,4,2,1,5,5,4,4,3,Our organization would benefit from regular sessions on emotional intelligence and communication skills.,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.
52,Male,Postgraduate (PG),17 years,Team Lead,Retail,Hybrid (Partially Remote),5,5,2,5,3,1,2,2,1,1,3,5,5,2,2,4,5,4,2,2,5,2,5,3,1,3,5,1,2,2,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.",Our organization would benefit from regular sessions on emotional intelligence and communication skills.
32,Male,Postgraduate (PG),1 years,Team Lead,Education,Fully Remote,1,4,2,1,1,1,2,4,2,4,2,2,2,2,1,2,2,4,3,3,1,5,2,5,4,1,2,2,3,3,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.
26,Male,Postgraduate (PG),4 years,Other,Other,Hybrid (Partially Remote),4,2,5,1,5,1,1,1,3,3,5,5,2,1,2,3,4,4,4,4,4,3,1,2,2,2,4,4,1,1,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.",Our organization would benefit from regular sessions on emotional intelligence and communication skills.
32,Male,Postgraduate (PG),1 years,Individual Contributor/Employee,Finance/Banking,Hybrid (Partially Remote),3,4,3,2,4,1,4,4,5,1,5,2,3,3,1,1,3,5,3,2,1,1,5,2,5,1,2,1,5,3,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.,Our organization would benefit from regular sessions on emotional intelligence and communication skills.,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.
50,Male,Undergraduate (UG),23 years,Other,Healthcare,Fully Remote,5,1,1,2,3,4,2,3,2,4,2,3,2,4,5,2,2,3,2,2,1,2,1,4,5,3,5,5,4,1,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.,Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.
22,Male,Undergraduate (UG),1 years,Senior Management/Executive,Healthcare,Fully Remote,5,1,2,2,2,4,1,1,3,1,2,4,4,1,1,4,2,3,2,4,2,5,4,5,2,2,1,5,4,5,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.,Our organization would benefit from regular sessions on emotional intelligence and communication skills.,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.
22,Female,Undergraduate (UG),1 years,Manager/Supervisor,Manufacturing,On-Site,1,3,1,4,4,1,5,4,3,3,3,5,4,5,5,5,5,4,4,4,5,2,1,2,3,3,2,3,1,5,Our organization would benefit from regular sessions on emotional intelligence and communication skills.,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.
55,Male,Postgraduate (PG),22 years,Team Lead,Information Technology (IT),On-Site,1,1,2,4,1,1,5,3,4,4,5,1,3,4,1,3,1,5,4,3,5,3,1,2,4,4,3,4,5,4,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.",Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.,Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.
47,Female,Undergraduate (UG),22 years,Senior Management/Executive,Information Technology (IT),On-Site,2,4,1,2,2,1,5,1,3,2,2,5,4,5,2,1,2,1,1,4,2,4,2,1,2,4,3,1,4,2,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.","Workshops on emotional intelligence could help teams work better together, especially in stressful situations.","Workshops on emotional intelligence could help teams work better together, especially in stressful situations."
35,Female,Postgraduate (PG),10 years,Individual Contributor/Employee,Education,Hybrid (Partially Remote),2,1,3,5,3,4,2,1,4,1,5,2,2,3,4,5,3,1,4,2,5,5,5,4,3,3,3,3,4,2,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.,Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.,Our organization would benefit from regular sessions on emotional intelligence and communication skills.
34,Male,Undergraduate (UG),6 years,Other,Education,Hybrid (Partially Remote),2,1,1,1,5,4,2,2,3,5,1,5,3,5,2,4,3,1,3,4,3,4,3,4,1,5,2,4,2,3,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.",Addressing conflicts directly but respectfully has improved my team’s productivity and morale.
35,Female,Undergraduate (UG),9 years,Team Lead,Healthcare,Hybrid (Partially Remote),3,3,5,2,5,4,5,1,1,3,5,4,4,2,1,3,2,4,2,4,1,2,2,1,2,3,4,2,5,3,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.","Workshops on emotional intelligence could help teams work better together, especially in stressful situations."
20,Male,Undergraduate (UG),1 years,Individual Contributor/Employee,Manufacturing,Hybrid (Partially Remote),2,5,2,3,4,2,2,4,3,5,5,2,2,4,3,1,4,2,1,4,4,5,5,4,4,4,5,3,5,1,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.,Our organization would benefit from regular sessions on emotional intelligence and communication skills.
27,Male,Postgraduate (PG),2 years,Manager/Supervisor,Other,On-Site,4,2,4,3,3,5,2,5,3,4,2,4,5,2,5,5,4,2,3,1,1,3,3,1,5,1,2,5,2,5,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.
60,Male,Postgraduate (PG),26 years,Manager/Supervisor,Information Technology (IT),On-Site,4,3,5,2,3,1,3,2,4,3,3,4,4,2,5,4,4,5,3,3,1,2,3,2,3,1,3,2,1,4,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.",I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.
43,Male,Postgraduate (PG),12 years,Individual Contributor/Employee,Healthcare,Fully Remote,2,1,3,1,1,3,5,3,2,2,1,1,4,1,1,2,4,4,4,3,2,3,2,4,2,4,5,3,3,5,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.,Our organization would benefit from regular sessions on emotional intelligence and communication skills.
37,Male,Postgraduate (PG),5 years,Individual Contributor/Employee,Finance/Banking,Hybrid (Partially Remote),3,4,3,5,4,2,1,3,5,3,5,4,5,2,3,3,5,5,1,3,1,1,1,2,2,2,1,4,1,2,Our organization would benefit from regular sessions on emotional intelligence and communication skills.,Our organization would benefit from regular sessions on emotional intelligence and communication skills.,"During a team dispute, I encouraged open communication, which helped us find a solution beneficial to all."
32,Male,Postgraduate (PG),10 years,Team Lead,Other,On-Site,4,3,4,5,3,3,3,1,4,2,2,4,3,2,1,1,4,5,4,2,3,3,5,2,4,1,1,3,4,4,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.
42,Male,Postgraduate (PG),0 years,Other,Education,Hybrid (Partially Remote),2,5,2,2,4,5,5,5,2,3,5,2,1,5,3,1,2,1,5,1,5,2,1,5,1,5,1,2,1,3,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.
28,Female,Postgraduate (PG),5 years,Manager/Supervisor,Manufacturing,Hybrid (Partially Remote),4,2,3,5,2,1,5,3,4,2,5,1,5,3,1,5,2,2,3,3,3,3,5,2,2,1,3,3,1,1,"During a team dispute, I encouraged open communication, which helped us find a solution beneficial to all.",Addressing conflicts directly but respectfully has improved my team’s productivity and morale.,"During a team dispute, I encouraged open communication, which helped us find a solution beneficial to all."
56,Male,Postgraduate (PG),31 years,Senior Management/Executive,Healthcare,On-Site,4,1,5,5,4,4,3,1,3,1,2,5,2,4,5,2,4,2,1,3,4,3,3,4,5,5,3,4,3,3,Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.
25,Male,Postgraduate (PG),3 years,Manager/Supervisor,Education,On-Site,3,2,2,1,1,5,1,4,2,1,3,2,5,1,3,1,1,5,1,3,5,4,1,3,1,5,2,3,4,5,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations."
28,Male,Postgraduate (PG),6 years,Manager/Supervisor,Finance/Banking,Hybrid (Partially Remote),3,2,1,5,3,2,1,5,1,1,1,1,5,5,4,4,5,5,4,3,5,4,1,4,2,1,2,2,1,2,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.,Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.,"During a team dispute, I encouraged open communication, which helped us find a solution beneficial to all."
28,Male,Postgraduate (PG),4 years,Team Lead,Manufacturing,Fully Remote,5,3,1,2,2,1,5,5,4,3,3,2,4,5,3,4,4,5,1,3,4,4,1,4,3,5,2,2,5,4,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.,Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.
56,Male,Postgraduate (PG),29 years,Other,Education,On-Site,4,4,5,4,2,3,3,3,3,3,5,1,4,3,4,4,4,1,3,4,4,1,3,3,1,5,2,2,2,3,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.,Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.
29,Male,Postgraduate (PG),4 years,Manager/Supervisor,Education,Fully Remote,2,2,5,5,4,3,1,3,2,3,1,3,1,3,1,3,4,4,5,1,3,1,1,3,2,4,1,5,1,2,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.,Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.
27,Male,Postgraduate (PG),4 years,Other,Finance/Banking,Fully Remote,3,3,1,5,4,2,5,5,2,2,1,4,3,1,2,1,2,3,4,3,5,2,1,2,5,3,1,3,5,3,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.,"During a team dispute, I encouraged open communication, which helped us find a solution beneficial to all."
21,Male,Undergraduate (UG),1 years,Manager/Supervisor,Healthcare,Hybrid (Partially Remote),5,3,5,5,4,4,5,1,5,5,1,4,4,2,2,4,1,2,5,4,4,4,1,4,1,4,2,3,3,5,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.,Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.
38,Male,Undergraduate (UG),6 years,Other,Information Technology (IT),Fully Remote,1,1,2,2,5,4,2,1,2,4,2,3,2,2,5,5,4,1,1,1,5,4,5,3,5,3,1,3,3,4,Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.,"During a team dispute, I encouraged open communication, which helped us find a solution beneficial to all."
57,Male,Postgraduate (PG),27 years,Individual Contributor/Employee,Finance/Banking,Fully Remote,5,3,3,4,4,3,4,5,2,3,4,5,2,4,2,5,4,1,4,4,4,4,5,3,1,2,4,5,1,2,Our organization would benefit from regular sessions on emotional intelligence and communication skills.,"During a team dispute, I encouraged open communication, which helped us find a solution beneficial to all.",I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.
33,Male,Undergraduate (UG),11 years,Individual Contributor/Employee,Healthcare,On-Site,4,5,2,5,2,5,1,5,5,4,2,4,5,4,5,3,1,3,4,5,3,1,2,3,4,4,4,2,1,1,Our organization would benefit from regular sessions on emotional intelligence and communication skills.,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.,Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.
27,Male,Postgraduate (PG),3 years,Team Lead,Retail,Fully Remote,1,1,4,2,4,4,2,4,5,4,2,2,1,4,1,1,2,4,5,3,2,4,4,3,3,4,1,5,5,3,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.
26,Male,Postgraduate (PG),4 years,Individual Contributor/Employee,Education,On-Site,3,1,5,2,5,4,2,2,2,3,5,1,3,3,5,1,3,5,3,1,1,4,4,1,5,3,2,1,5,2,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.
29,Female,Postgraduate (PG),5 years,Manager/Supervisor,Education,Fully Remote,2,4,3,5,1,2,2,4,5,2,1,4,2,4,4,5,5,2,4,4,1,2,1,2,1,4,2,4,5,4,Our organization would benefit from regular sessions on emotional intelligence and communication skills.,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.",I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.
24,Female,Undergraduate (UG),0 years,Senior Management/Executive,Manufacturing,Fully Remote,5,4,5,4,4,1,4,5,1,5,4,3,5,5,2,1,1,2,4,5,5,5,4,3,3,5,3,2,5,3,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.",Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.
56,Male,Undergraduate (UG),9 years,Senior Management/Executive,Retail,On-Site,5,3,5,1,1,4,3,1,3,1,4,2,5,5,3,2,2,1,3,1,4,5,1,5,1,3,3,4,3,1,"During a team dispute, I encouraged open communication, which helped us find a solution beneficial to all.",Training in emotional intelligence would help in reducing workplace stress and improving collaboration.,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.
56,Male,Undergraduate (UG),0 years,Manager/Supervisor,Retail,Hybrid (Partially Remote),1,4,2,4,1,3,3,2,2,4,5,3,1,2,4,4,1,4,2,3,3,3,3,2,5,5,5,2,3,1,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.
